일시,태양광 이용률,합계전천일사량(MJ/m2)
2015-01-01,13.36,8.42
2015-01-02,13.36,7.96
2015-01-03,12.5,7.15
2015-01-04,7.17,5.38
2015-01-05,8.48,5.89
2015-01-06,15.8,8.88
2015-01-07,15.32,8.74
2015-01-08,14.81,8.68
2015-01-09,9.79,5.72
2015-01-10,13.91,8.52
2015-01-11,13.14,8.64
2015-01-12,13.79,8.63
2015-01-13,10.76,7.56
2015-01-14,4.17,3.3
2015-01-15,10.98,7.02
2015-01-16,2.94,2.33
2015-01-17,15.88,9.49
2015-01-18,7.68,4.84
2015-01-19,7.47,7.94
2015-01-20,12.93,8.1
2015-01-21,5.86,4.85
2015-01-22,8.25,4.73
2015-01-23,7.74,3.46
2015-01-24,10.17,6.68
2015-01-25,2.32,1.74
2015-01-26,3.44,2.09
2015-01-27,16.71,10.13
2015-01-28,15.37,8.82
2015-01-29,5.13,4.07
2015-01-30,15.27,9.39
2015-01-31,17.64,10.53
2015-02-01,17.62,10.79
2015-02-02,15.11,9.38
2015-02-03,12.71,8.27
2015-02-04,12.36,9.09
2015-02-05,13.98,9.29
2015-02-06,16.19,10.03
2015-02-07,9.55,5.54
2015-02-08,18.61,11.74
2015-02-09,14.22,9.06
2015-02-10,9.69,8.18
2015-02-11,14.22,9.41
2015-02-12,19.75,12.06
2015-02-13,19.76,12.18
2015-02-14,5.76,4.3
2015-02-15,12.34,8.47
2015-02-16,1.63,1.31
2015-02-17,5.88,3.9
2015-02-18,5.19,2.69
2015-02-19,16.47,11.85
2015-02-20,14.81,10.84
2015-02-21,2.67,2.15
2015-02-22,9.53,5.92
2015-02-23,16.2,10.68
2015-02-24,18.41,12.41
2015-02-25,15.28,11.03
2015-02-26,19.16,11.93
2015-02-27,20.9,13.57
2015-02-28,8.22,6.02
2015-03-01,12.3,7.58
2015-03-02,20.78,13.62
2015-03-03,6.18,3.67
2015-03-04,22.69,14.28
2015-03-05,18.18,12.48
2015-03-06,21.61,14.71
2015-03-07,21.52,14.77
2015-03-08,17.89,12.71
2015-03-09,21.43,14.49
2015-03-10,24.99,16.5
2015-03-11,17.33,11.82
2015-03-12,23.23,15.93
2015-03-13,21.67,15.53
2015-03-14,21.49,15.12
2015-03-15,19.1,14.17
2015-03-16,19.77,14.6
2015-03-17,8.27,7.38
2015-03-18,3.81,3.01
2015-03-19,21.27,15.18
2015-03-20,19.52,13.99
2015-03-21,18.6,14.03
2015-03-22,21.7,14.42
2015-03-23,24.18,17.77
2015-03-24,23.91,17.65
2015-03-25,23.34,17.36
2015-03-26,23,17.43
2015-03-27,21.63,16.73
2015-03-28,21.66,16.6
2015-03-29,14.41,8.37
2015-03-30,20.63,16.12
2015-03-31,2.92,2.16
2015-04-01,14.68,12.36
2015-04-02,13.93,12.61
2015-04-03,8.7,5.19
2015-04-04,14.69,11.8
2015-04-05,3.27,2.06
2015-04-06,9.93,7.55
2015-04-07,11.84,9.89
2015-04-08,16.99,12.52
2015-04-09,20.61,14.84
2015-04-10,23.83,18.18
2015-04-11,22.89,18.12
2015-04-12,13.49,10.32
2015-04-13,13.08,7.44
2015-04-14,5.63,3.85
2015-04-15,19.48,15.73
2015-04-16,5.41,4.27
2015-04-17,24.54,20.08
2015-04-18,21.22,16.29
2015-04-19,3.68,2.42
2015-04-20,10.16,7.75
2015-04-21,24.63,20.79
2015-04-22,21.4,18.12
2015-04-23,24.26,20.1
2015-04-24,24.72,20.18
2015-04-25,25.44,21.05
2015-04-26,23.14,19.4
2015-04-27,23.89,20
2015-04-28,19.42,15.38
2015-04-29,6.31,4.31
2015-04-30,22.93,18.61
2015-05-01,23.1,19.9
2015-05-02,16.39,14.57
2015-05-03,5.69,4.17
2015-05-04,25.62,21.22
2015-05-05,26.48,22.8
2015-05-06,17.11,15.02
2015-05-07,20.3,18.84
2015-05-08,16.02,13.65
2015-05-09,21.6,20.8
2015-05-10,23.89,21.8
2015-05-11,13.54,10.51
2015-05-12,17.27,14.68
2015-05-13,25.1,21.97
2015-05-14,21.73,19.82
2015-05-15,11.34,7.38
2015-05-16,26.06,23.61
2015-05-17,23.52,21.45
2015-05-18,15.21,11.84
2015-05-19,5.75,3.21
2015-05-20,25.01,23.4
2015-05-21,25.92,23.29
2015-05-22,25.13,22.42
2015-05-23,24.43,22.89
2015-05-24,25.89,23.71
2015-05-25,24.31,22.85
2015-05-26,24.73,23.9
2015-05-27,25.01,23.7
2015-05-28,22.98,21.51
2015-05-29,19.03,17.77
2015-05-30,9.67,7.74
2015-05-31,21.4,21.5
2015-06-01,20.51,19.93
2015-06-02,21.85,20.43
2015-06-03,25.54,23.61
2015-06-04,22.56,20.83
2015-06-05,7.78,6.64
2015-06-06,22.89,21.29
2015-06-07,21.4,21.07
2015-06-08,14.86,12.96
2015-06-09,20.39,19.26
2015-06-10,22.95,21.84
2015-06-11,11.76,9.82
2015-06-12,22.28,21.37
2015-06-13,15.91,14.59
