일시,태양광 이용률,일강수량(mm),평균 상대습도(%),합계전천일사량(MJ/m2)
2015-01-01,13.36,0,40.2,8.42
2015-01-02,13.36,0,48.5,7.96
2015-01-03,12.5,0,60.42,7.15
2015-01-04,7.17,0,73.72,5.38
2015-01-05,8.48,1.26,80.66,5.89
2015-01-06,15.8,2.2,53.04,8.88
2015-01-07,15.32,0,37.14,8.74
2015-01-08,14.81,0,56.12,8.68
2015-01-09,9.79,0,67.32,5.72
2015-01-10,13.91,0,66.12,8.52
2015-01-11,13.14,0.08,56.36,8.64
2015-01-12,13.79,0,48.06,8.63
2015-01-13,10.76,0,57.8,7.56
2015-01-14,4.17,0,52.18,3.3
2015-01-15,10.98,0,61.08,7.02
2015-01-16,2.94,0.68,74.5,2.33
2015-01-17,15.88,0,47.04,9.49
2015-01-18,7.68,5.46,73.4,4.84
2015-01-19,7.47,0.2,68.84,7.94
2015-01-20,12.93,0,67.84,8.1
2015-01-21,5.86,0.98,68.9,4.85
2015-01-22,8.25,0.14,71.66,4.73
2015-01-23,7.74,0,80.16,3.46
2015-01-24,10.17,0,74.48,6.68
2015-01-25,2.32,6.06,85.4,1.74
2015-01-26,3.44,1.3,85.9,2.09
2015-01-27,16.71,0,55.84,10.13
2015-01-28,15.37,0,55.82,8.82
2015-01-29,5.13,0,66.44,4.07
2015-01-30,15.27,0,49.66,9.39
2015-01-31,17.64,0,52.16,10.53
2015-02-01,17.62,0,56.18,10.79
2015-02-02,15.11,0,58.38,9.38
2015-02-03,12.71,0,62,8.27
2015-02-04,12.36,0,68.3,9.09
2015-02-05,13.98,0,67.26,9.29
2015-02-06,16.19,0,67.18,10.03
2015-02-07,9.55,0.04,67.94,5.54
2015-02-08,18.61,0,30.7,11.74
2015-02-09,14.22,0.3,50.58,9.06
2015-02-10,9.69,0,69.9,8.18
2015-02-11,14.22,0,59.96,9.41
2015-02-12,19.75,0,34.82,12.06
2015-02-13,19.76,0,45.02,12.18
2015-02-14,5.76,0,75.58,4.3
2015-02-15,12.34,0,63.62,8.47
2015-02-16,1.63,10.64,90.72,1.31
2015-02-17,5.88,0.5,78.98,3.9
2015-02-18,5.19,0,78.38,2.69
2015-02-19,16.47,0,71.975,11.85
2015-02-20,14.81,0,64.64,10.84
2015-02-21,2.67,8.8,81.06,2.15
2015-02-22,9.53,2.06,74.38,5.92
2015-02-23,16.2,0,59.98,10.68
2015-02-24,18.41,0,64.3,12.41
2015-02-25,15.28,0.76,54.14,11.03
2015-02-26,19.16,0.5,55.16,11.93
2015-02-27,20.9,0,38.32,13.57
2015-02-28,8.22,0,50.82,6.02
2015-03-01,12.3,0.02,56.6,7.58
2015-03-02,20.78,0,51.42,13.62
2015-03-03,6.18,3.14,66.36,3.67
2015-03-04,22.69,0,40.94,14.28
2015-03-05,18.18,0,51.48,12.48
2015-03-06,21.61,0,50.38,14.71
2015-03-07,21.52,0,52.9,14.77
2015-03-08,17.89,0,49.18,12.71
2015-03-09,21.43,0,41.64,14.49
2015-03-10,24.99,0,28.84,16.5
2015-03-11,17.33,0,42.72,11.82
2015-03-12,23.23,0,39.08,15.93
2015-03-13,21.67,1.18,45.16,15.53
2015-03-14,21.49,0,38.7,15.12
2015-03-15,19.1,0,48.26,14.17
2015-03-16,19.77,0,48.54,14.6
2015-03-17,8.27,0.02,53.9,7.38
2015-03-18,3.81,5.58,68.74,3.01
2015-03-19,21.27,0,56.26,15.18
2015-03-20,19.52,0,41.92,13.99
2015-03-21,18.6,0,41.34,14.03
2015-03-22,21.7,0,41.38,14.42
2015-03-23,24.18,0,25.24,17.77
2015-03-24,23.91,0,35.56,17.65
2015-03-25,23.34,0,43.18,17.36
2015-03-26,23,0,48.14,17.43
2015-03-27,21.63,0,51.36,16.73
2015-03-28,21.66,0,40.76,16.6
2015-03-29,14.41,0,55.76,8.37
2015-03-30,20.63,0,60.08,16.12
2015-03-31,2.92,2.38,80.88,2.16
2015-04-01,14.68,2.18,67.34,12.36
2015-04-02,13.93,24.98,68.66,12.61
2015-04-03,8.7,9.12,83.82,5.19
2015-04-04,14.69,0.18,55.08,11.8
2015-04-05,3.27,0.74,76.8,2.06
2015-04-06,9.93,0,61.8,7.55
2015-04-07,11.84,0.02,62.46,9.89
2015-04-08,16.99,0,54.52,12.52
2015-04-09,20.61,0,51.74,14.84
2015-04-10,23.83,0,48.82,18.18
2015-04-11,22.89,0,46.9,18.12
2015-04-12,13.49,0,41.02,10.32
2015-04-13,13.08,3.26,52.78,7.44
2015-04-14,5.63,14.82,86.46,3.85
2015-04-15,19.48,2.88,73.18,15.73
2015-04-16,5.41,4.52,69.86,4.27
2015-04-17,24.54,0,53.08,20.08
2015-04-18,21.22,0,41.86,16.29
