일시,태양광 이용률,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계전천일사량(MJ/m2)
2015-01-01,13.36,-7.42,0,3.22,40.2,8.42
2015-01-02,13.36,-6.36,0,2.06,48.5,7.96
2015-01-03,12.5,-4.6,0,1.1,60.42,7.15
2015-01-04,7.17,0.72,0,0.82,73.72,5.38
2015-01-05,8.48,1.26,1.26,0.9,80.66,5.89
2015-01-06,15.8,-2.42,2.2,3.24,53.04,8.88
2015-01-07,15.32,-5.66,0,1.7,37.14,8.74
2015-01-08,14.81,-6.56,0,1.02,56.12,8.68
2015-01-09,9.79,-4.3,0,0.96,67.32,5.72
2015-01-10,13.91,-1.86,0,1.3,66.12,8.52
2015-01-11,13.14,-0.5,0.08,2.52,56.36,8.64
2015-01-12,13.79,-3.92,0,1.1,48.06,8.63
2015-01-13,10.76,-2.46,0,0.8,57.8,7.56
2015-01-14,4.17,0.92,0,0.76,52.18,3.3
2015-01-15,10.98,1.98,0,1.1,61.08,7.02
2015-01-16,2.94,-0.24,0.68,2.2,74.5,2.33
2015-01-17,15.88,-4.06,0,2.62,47.04,9.49
2015-01-18,7.68,-2.88,5.46,1.54,73.4,4.84
2015-01-19,7.47,-0.08,0.2,2.26,68.84,7.94
2015-01-20,12.93,-2.6,0,0.92,67.84,8.1
2015-01-21,5.86,1.08,0.98,0.94,68.9,4.85
2015-01-22,8.25,2.02,0.14,1.32,71.66,4.73
2015-01-23,7.74,-0.46,0,1.06,80.16,3.46
2015-01-24,10.17,1.62,0,0.92,74.48,6.68
2015-01-25,2.32,1.42,6.06,1.28,85.4,1.74
2015-01-26,3.44,3.38,1.3,1.44,85.9,2.09
2015-01-27,16.71,-2.56,0,2.42,55.84,10.13
2015-01-28,15.37,-4.44,0,1.44,55.82,8.82
2015-01-29,5.13,-1.96,0,0.96,66.44,4.07
2015-01-30,15.27,-2.66,0,2.52,49.66,9.39
2015-01-31,17.64,-5.04,0,1.4,52.16,10.53
2015-02-01,17.62,-4.1,0,1.02,56.18,10.79
2015-02-02,15.11,-2.54,0,0.84,58.38,9.38
2015-02-03,12.71,-1.34,0,0.94,62,8.27
2015-02-04,12.36,-0.94,0,1.02,68.3,9.09
2015-02-05,13.98,-0.88,0,1.46,67.26,9.29
2015-02-06,16.19,-0.84,0,1.15,67.18,10.03
2015-02-07,9.55,0.18,0.04,1.58,67.94,5.54
2015-02-08,18.61,-8.8,0,4.12,30.7,11.74
2015-02-09,14.22,-5.56,0.3,2.28,50.58,9.06
2015-02-10,9.69,0.52,0,1.8,69.9,8.18
2015-02-11,14.22,1.82,0,1.42,59.96,9.41
2015-02-12,19.75,-1.92,0,2.9,34.82,12.06
2015-02-13,19.76,-2.02,0,2.16,45.02,12.18
2015-02-14,5.76,-0.1,0,1.18,75.58,4.3
2015-02-15,12.34,6.72,0,1.64,63.62,8.47
2015-02-16,1.63,4.28,10.64,1.84,90.72,1.31
2015-02-17,5.88,2.2,0.5,2.1,78.98,3.9
2015-02-18,5.19,0.54,0,1.24,78.38,2.69
2015-02-19,16.47,0.62,0,0.92,71.975,11.85
2015-02-20,14.81,3.3,0,0.92,64.64,10.84
2015-02-21,2.67,4.9,8.8,1.36,81.06,2.15
2015-02-22,9.53,3.7,2.06,2.74,74.38,5.92
2015-02-23,16.2,0.88,0,1.82,59.98,10.68
2015-02-24,18.41,1.36,0,1.24,64.3,12.41
2015-02-25,15.28,4.62,0.76,1.84,54.14,11.03
2015-02-26,19.16,1.4,0.5,3.74,55.16,11.93
2015-02-27,20.9,-1.46,0,2.42,38.32,13.57
2015-02-28,8.22,1.54,0,1.08,50.82,6.02
2015-03-01,12.3,2.42,0.02,2.62,56.6,7.58
2015-03-02,20.78,2.48,0,1.52,51.42,13.62
2015-03-03,6.18,2.64,3.14,2.3,66.36,3.67
2015-03-04,22.69,-1.6,0,3.98,40.94,14.28
2015-03-05,18.18,-1.28,0,1.18,51.48,12.48
2015-03-06,21.61,1.4,0,1.26,50.38,14.71
2015-03-07,21.52,2.78,0,1.26,52.9,14.77
2015-03-08,17.89,6.26,0,1.1,49.18,12.71
2015-03-09,21.43,2.56,0,3.94,41.64,14.49
2015-03-10,24.99,-2.98,0,4.56,28.84,16.5
2015-03-11,17.33,-0.02,0,3.12,42.72,11.82
2015-03-12,23.23,1.82,0,2.3,39.08,15.93
2015-03-13,21.67,5,1.18,2.22,45.16,15.53
2015-03-14,21.49,3.36,0,1.42,38.7,15.12
2015-03-15,19.1,4.08,0,1.28,48.26,14.17
2015-03-16,19.77,7.58,0,1.04,48.54,14.6
2015-03-17,8.27,9.2,0.02,0.84,53.9,7.38
2015-03-18,3.81,9.4,5.58,2,68.74,3.01
2015-03-19,21.27,11.74,0,1.5,56.26,15.18
2015-03-20,19.52,11.96,0,1.36,41.92,13.99
2015-03-21,18.6,10.28,0,1.54,41.34,14.03
2015-03-22,21.7,7.36,0,2.92,41.38,14.42
2015-03-23,24.18,4.68,0,3.04,25.24,17.77
2015-03-24,23.91,4.32,0,1.76,35.56,17.65
2015-03-25,23.34,5.52,0,1.5,43.18,17.36
2015-03-26,23,7.06,0,1.88,48.14,17.43
2015-03-27,21.63,8,0,1.7,51.36,16.73
2015-03-28,21.66,8.6,0,1.64,40.76,16.6
2015-03-29,14.41,10.36,0,1.44,55.76,8.37
2015-03-30,20.63,12,0,1.54,60.08,16.12
2015-03-31,2.92,11.44,2.38,1.02,80.88,2.16
2015-04-01,14.68,12.14,2.18,2.72,67.34,12.36
2015-04-02,13.93,14.38,24.98,3.92,68.66,12.61
2015-04-03,8.7,10.68,9.12,1.92,83.82,5.19
2015-04-04,14.69,12.5,0.18,2.64,55.08,11.8
2015-04-05,3.27,9.94,0.74,1.42,76.8,2.06
2015-04-06,9.93,10.4,0,2.06,61.8,7.55
2015-04-07,11.84,7.82,0.02,1.94,62.46,9.89
2015-04-08,16.99,8,0,1.8,54.52,12.52
2015-04-09,20.61,8.7,0,1.36,51.74,14.84
2015-04-10,23.83,10.56,0,1.66,48.82,18.18
2015-04-11,22.89,12.08,0,1.46,46.9,18.12
2015-04-12,13.49,13.18,0,2.12,41.02,10.32
2015-04-13,13.08,11.44,3.26,3.32,52.78,7.44
2015-04-14,5.63,6.76,14.82,1.26,86.46,3.85
2015-04-15,19.48,10.78,2.88,1.78,73.18,15.73
2015-04-16,5.41,9.64,4.52,2.54,69.86,4.27
2015-04-17,24.54,9.96,0,2.34,53.08,20.08
2015-04-18,21.22,13.74,0,1.02,41.86,16.29
2015-04-19,3.68,13.32,17,1.7,80.02,2.42
2015-04-20,10.16,11.68,7.34,2.2,72.74,7.75
2015-04-21,24.63,12.2,0,1.72,55.82,20.79
2015-04-22,21.4,13.06,0.02,1.76,51.76,18.12
2015-04-23,24.26,13.56,0,1.88,47.32,20.1
2015-04-24,24.72,15.18,0,1.88,39.9,20.18
2015-04-25,25.44,14.64,0,1.68,37.28,21.05
2015-04-26,23.14,16.42,0,1.62,46.8,19.4
2015-04-27,23.89,17.4,0,1.56,48.3,20
2015-04-28,19.42,18.76,0,1.16,44.1,15.38
2015-04-29,6.31,16.86,3.04,1.54,74.76,4.31
2015-04-30,22.93,19.98,0,1.4,62.7,18.61
2015-05-01,23.1,20.22,0,1.58,63.12,19.9
2015-05-02,16.39,19.98,0.86,1.36,66.6,14.57
2015-05-03,5.69,18.02,3.62,1.12,91.42,4.17
2015-05-04,25.62,15.98,0,3.02,48.72,21.22
2015-05-05,26.48,13.12,0,2.08,45.9,22.8
2015-05-06,17.11,14.12,0,1.24,45.92,15.02
2015-05-07,20.3,15.54,0,1.62,42.92,18.84
2015-05-08,16.02,15.96,0,1.5,60.94,13.65
2015-05-09,21.6,17.5,0,1.8,55.58,20.8
2015-05-10,23.89,18.06,0,1.44,50.34,21.8
2015-05-11,13.54,17.42,15.2,2.42,66,10.51
2015-05-12,17.27,13.76,10.5,4.14,72.18,14.68
2015-05-13,25.1,17.7,0,3.28,58.9,21.97
2015-05-14,21.73,19.86,0,1.96,65.5,19.82
2015-05-15,11.34,19.1,0,1.68,71.56,7.38
2015-05-16,26.06,17.52,0,1.9,52.38,23.61
2015-05-17,23.52,17.14,0,1.36,49.62,21.45
2015-05-18,15.21,16.74,0,1.64,60.06,11.84
2015-05-19,5.75,15.24,0.8,2,86.42,3.21
2015-05-20,25.01,16.06,0,1.82,61.18,23.4
2015-05-21,25.92,17.92,0,2,56.04,23.29
2015-05-22,25.13,19.34,0,1.84,49.74,22.42
2015-05-23,24.43,19.42,0,1.5,46.46,22.89
2015-05-24,25.89,19.66,0,1.54,44,23.71
2015-05-25,24.31,19.78,0,1.56,53.4,22.85
2015-05-26,24.73,20.48,0,1.6,53.14,23.9
2015-05-27,25.01,21.56,0,1.24,42.66,23.7
2015-05-28,22.98,22.66,0,1.44,40.5,21.51
2015-05-29,19.03,22.62,0,1.48,45.66,17.77
2015-05-30,9.67,19.16,0.7,1.54,70.74,7.74
2015-05-31,21.4,20.42,0,1.28,61.24,21.5
2015-06-01,20.51,20.58,0,1.4,54.18,19.93
2015-06-02,21.85,22.22,0,1.74,51.54,20.43
2015-06-03,25.54,22.48,0,2.98,37.26,23.61
2015-06-04,22.56,22.1,0,1.54,39.2,20.83
2015-06-05,7.78,17.42,1.48,1.2,66.64,6.64
2015-06-06,22.89,20.72,0,1.54,57.54,21.29
2015-06-07,21.4,22.14,0,1.48,51.96,21.07
2015-06-08,14.86,21.18,0,1.28,59.12,12.96
2015-06-09,20.39,21.72,0,1.78,65.76,19.26
2015-06-10,22.95,24,0,1.48,58.8,21.84
2015-06-11,11.76,23.62,5.7,2.1,62.84,9.82
2015-06-12,22.28,23.3,0.56,2.3,62.34,21.37
2015-06-13,15.91,23.36,1.06,1.88,65.52,14.59
2015-06-14,19.21,22.36,14.1,1.72,70.68,16.79
2015-06-15,19.79,23.76,0,1.42,67.64,17.56
2015-06-16,20.84,23.56,3.02,1.54,71.86,21.45
2015-06-17,17.07,23.1,4.48,1.42,72.88,13.46
2015-06-18,19.67,23.86,0,1.78,60.22,16.49
2015-06-19,19.47,23.46,0,1.76,59.22,18.7
2015-06-20,4.15,18.76,21.64,1.1,87.64,3.93
2015-06-21,22.53,21.76,0,1.3,69.9,22.36
2015-06-22,22.18,23.38,0,1.54,65.36,20.12
2015-06-23,22.39,24.1,0,1.48,64.76,21.5
2015-06-24,19.08,24.5,0.2,1.4,65.56,17.37
2015-06-25,11.62,23.28,1.52,1.36,73.46,8.74
