일시,태양광 이용률,평균기온(°C),일강수량(mm),합계전천일사량(MJ/m2)
2015-01-01,13.36,-7.42,0,8.42
2015-01-02,13.36,-6.36,0,7.96
2015-01-03,12.5,-4.6,0,7.15
2015-01-04,7.17,0.72,0,5.38
2015-01-05,8.48,1.26,1.26,5.89
2015-01-06,15.8,-2.42,2.2,8.88
2015-01-07,15.32,-5.66,0,8.74
2015-01-08,14.81,-6.56,0,8.68
2015-01-09,9.79,-4.3,0,5.72
2015-01-10,13.91,-1.86,0,8.52
2015-01-11,13.14,-0.5,0.08,8.64
2015-01-12,13.79,-3.92,0,8.63
2015-01-13,10.76,-2.46,0,7.56
2015-01-14,4.17,0.92,0,3.3
2015-01-15,10.98,1.98,0,7.02
2015-01-16,2.94,-0.24,0.68,2.33
2015-01-17,15.88,-4.06,0,9.49
2015-01-18,7.68,-2.88,5.46,4.84
2015-01-19,7.47,-0.08,0.2,7.94
2015-01-20,12.93,-2.6,0,8.1
2015-01-21,5.86,1.08,0.98,4.85
2015-01-22,8.25,2.02,0.14,4.73
2015-01-23,7.74,-0.46,0,3.46
2015-01-24,10.17,1.62,0,6.68
2015-01-25,2.32,1.42,6.06,1.74
2015-01-26,3.44,3.38,1.3,2.09
2015-01-27,16.71,-2.56,0,10.13
2015-01-28,15.37,-4.44,0,8.82
2015-01-29,5.13,-1.96,0,4.07
2015-01-30,15.27,-2.66,0,9.39
2015-01-31,17.64,-5.04,0,10.53
2015-02-01,17.62,-4.1,0,10.79
2015-02-02,15.11,-2.54,0,9.38
2015-02-03,12.71,-1.34,0,8.27
2015-02-04,12.36,-0.94,0,9.09
2015-02-05,13.98,-0.88,0,9.29
2015-02-06,16.19,-0.84,0,10.03
2015-02-07,9.55,0.18,0.04,5.54
2015-02-08,18.61,-8.8,0,11.74
2015-02-09,14.22,-5.56,0.3,9.06
2015-02-10,9.69,0.52,0,8.18
2015-02-11,14.22,1.82,0,9.41
2015-02-12,19.75,-1.92,0,12.06
2015-02-13,19.76,-2.02,0,12.18
2015-02-14,5.76,-0.1,0,4.3
2015-02-15,12.34,6.72,0,8.47
2015-02-16,1.63,4.28,10.64,1.31
2015-02-17,5.88,2.2,0.5,3.9
2015-02-18,5.19,0.54,0,2.69
2015-02-19,16.47,0.62,0,11.85
2015-02-20,14.81,3.3,0,10.84
2015-02-21,2.67,4.9,8.8,2.15
2015-02-22,9.53,3.7,2.06,5.92
2015-02-23,16.2,0.88,0,10.68
2015-02-24,18.41,1.36,0,12.41
2015-02-25,15.28,4.62,0.76,11.03
2015-02-26,19.16,1.4,0.5,11.93
2015-02-27,20.9,-1.46,0,13.57
2015-02-28,8.22,1.54,0,6.02
2015-03-01,12.3,2.42,0.02,7.58
2015-03-02,20.78,2.48,0,13.62
2015-03-03,6.18,2.64,3.14,3.67
2015-03-04,22.69,-1.6,0,14.28
2015-03-05,18.18,-1.28,0,12.48
2015-03-06,21.61,1.4,0,14.71
2015-03-07,21.52,2.78,0,14.77
2015-03-08,17.89,6.26,0,12.71
2015-03-09,21.43,2.56,0,14.49
2015-03-10,24.99,-2.98,0,16.5
2015-03-11,17.33,-0.02,0,11.82
2015-03-12,23.23,1.82,0,15.93
2015-03-13,21.67,5,1.18,15.53
2015-03-14,21.49,3.36,0,15.12
2015-03-15,19.1,4.08,0,14.17
2015-03-16,19.77,7.58,0,14.6
2015-03-17,8.27,9.2,0.02,7.38
2015-03-18,3.81,9.4,5.58,3.01
2015-03-19,21.27,11.74,0,15.18
2015-03-20,19.52,11.96,0,13.99
2015-03-21,18.6,10.28,0,14.03
2015-03-22,21.7,7.36,0,14.42
2015-03-23,24.18,4.68,0,17.77
2015-03-24,23.91,4.32,0,17.65
2015-03-25,23.34,5.52,0,17.36
2015-03-26,23,7.06,0,17.43
2015-03-27,21.63,8,0,16.73
2015-03-28,21.66,8.6,0,16.6
2015-03-29,14.41,10.36,0,8.37
2015-03-30,20.63,12,0,16.12
2015-03-31,2.92,11.44,2.38,2.16
2015-04-01,14.68,12.14,2.18,12.36
2015-04-02,13.93,14.38,24.98,12.61
2015-04-03,8.7,10.68,9.12,5.19
2015-04-04,14.69,12.5,0.18,11.8
2015-04-05,3.27,9.94,0.74,2.06
2015-04-06,9.93,10.4,0,7.55
